fold,seed,multiCLassAUC,meanBalancedACC,Train_procrustedCorr,Test_procrustedCorr,numFeatures,TrainAUC,mtry,Labels
3,12,0.497222222222222,0.4452380952380952,0.4112289131695251,0.6610540067585899,3,0.6600381618381619,1.7320508075688772,Permuted
4,12,0.4,0.4980769230769231,0.5089665125430514,0.6776503534894123,7,0.7120614940614941,2,Permuted
5,12,0.380555555555556,0.445,0.33637179654362326,0.5633958700367557,2,0.5466182983682983,2,Permuted
1,13,0.494444444444444,0.4727941176470588,0.4049994320784899,0.45841529678538667,2,0.5831747086247087,2,Permuted
2,13,0.547222222222222,0.5004761904761905,0.32450827028242335,0.40773077558555904,1,0.5050238927738928,1,Permuted
3,13,0.434722222222222,0.5302197802197802,0.48598732127111943,0.6981176691448931,5,0.7016904872904873,2,Permuted
4,13,0.558333333333333,0.5280303030303031,0.5923091410314507,0.7991569667576638,7,0.6900573537573538,2.6457513110645907,Permuted
5,13,0.583333333333333,0.5016666666666667,0.3706389608809868,0.6494359257493963,4,0.5760305805305805,2,Permuted
1,14,0.551388888888889,0.5263736263736264,0.35821865036083145,0.5041032897588925,1,0.5705937062937063,1,Permuted
2,14,0.561111111111111,0.5008333333333334,0.38429988049958735,0.4309118725051321,1,0.5368448495948496,1,Permuted
3,14,0.502777777777778,0.4978571428571429,0.4909392052107744,0.562448104065207,4,0.6383757797757798,2,Permuted
4,14,0.466666666666667,0.5005514705882352,0.47839763152749576,0.6015604412051923,4,0.6167141414141414,2,Permuted
5,14,0.461111111111111,0.5013636363636363,0.19665711972457164,0.3968075120708509,1,0.53848166000666,2,Permuted
1,15,0.511111111111111,0.5519047619047619,0.34429705339672056,0.5811020048719555,3,0.5670949883449883,2,Permuted
2,15,0.529166666666667,0.5021978021978022,0.2550492095793173,0.5831501731457286,2,0.6431483627483627,2,Permuted
3,15,0.566666666666667,0.5804945054945055,0.3498825845483567,0.5903643130686194,4,0.6002081696081696,2,Permuted
4,15,0.505555555555556,0.4736263736263736,0.26143319259987463,0.5101438740411316,2,0.46023038073038075,2,Permuted
5,15,0.683333333333333,0.5575,0.3209536264102187,0.4728082336102307,2,0.6372506937506938,1.4142135623730951,Permuted
1,16,0.519444444444444,0.5545833333333333,0.432875385168448,0.60236316146423,2,0.6140585858585859,2,Permuted
2,16,0.5,0.5,0.1266008555224424,NA,1,0.5500864024864025,1,Permuted
3,16,0.5,0.5,0.11689221131842462,NA,1,0.5467764985014985,1,Permuted
4,16,0.427777777777778,0.47335164835164834,0.6357514784950082,0.7729829380586937,8,0.7139401487401488,2,Permuted
5,16,0.494444444444444,0.5009615384615385,0.3613561814258139,0.6391800239584478,3,0.6123988344988345,2,Permuted
1,17,0.444444444444444,0.47214285714285714,0.40005624694746217,0.6521545412943678,5,0.6323312742812742,2,Permuted
2,17,0.475,0.44452380952380954,0.4083617395879307,0.6721162758515893,4,0.6719388888888889,2,Permuted
3,17,0.308333333333333,0.528525641025641,0.5582984283538077,0.6981173342873714,6,0.7089026862026861,2.449489742783178,Permuted
4,17,0.479166666666667,0.4726190476190476,0.49432926267189253,0.5568364457345725,3,0.5933577311577312,1.7320508075688772,Permuted
5,17,0.544444444444445,0.5021428571428571,0.39620780535811795,0.6360091831047127,3,0.6046904928404928,2,Permuted
1,18,0.547222222222222,0.5286764705882353,0.6481024200184806,0.7177750761774402,5,0.6848131313131314,2,Permuted
2,18,0.538888888888889,0.4981060606060606,0.5487897569754587,0.7239782656087704,6,0.6794768620268621,2,Permuted
3,18,0.536111111111111,0.5259191176470588,0.6141422419514244,0.7521491763259024,3,0.6677989121989122,2,Permuted
4,18,0.6,0.5554945054945055,0.713583604188172,0.7635833705616734,8,0.741376467976468,2,Permuted
5,18,0.459722222222222,0.4448717948717949,0.5351991574872379,0.7696457487565226,5,0.6986811410811411,2.23606797749979,Permuted
1,19,0.6,0.49924242424242427,0.30603943309830534,0.5789411616910985,3,0.6086485791985792,2,Permuted
2,19,0.558333333333333,0.5830952380952381,0.28483693209887906,0.43938499848651813,1,0.5475264346764347,1,Permuted
3,19,0.523611111111111,0.47291666666666665,0.24667827260840106,0.38343573337729614,1,0.5314094794094795,2,Permuted
4,19,0.525,0.5009615384615385,0.3291075510380729,0.4009767407692986,2,0.5808795537795538,1.4142135623730951,Permuted
5,19,0.545833333333333,0.47261029411764705,0.5278948665556222,0.6560686404708944,5,0.571136186036186,2,Permuted
1,20,0.513888888888889,0.47229166666666667,0.5689659980014932,0.6660224178154432,3,0.5601707847707847,1.7320508075688772,Permuted
2,20,0.325,0.4740909090909091,0.540716266909967,0.8503885119934022,8,0.6666303973803974,2,Permuted
3,20,0.558333333333333,0.47250000000000003,0.6554249636256037,0.7511732442580827,9,0.6678713564213564,3,Permuted
4,20,0.569444444444444,0.5004166666666667,0.4630338001053531,0.7159205364314907,5,0.6593172105672106,2.23606797749979,Permuted
5,20,0.669444444444445,0.5596153846153846,0.4754863882563136,0.6599069747175459,4,0.6593446830946831,2,Permuted
1,21,0.533333333333333,0.5797619047619048,0.4746527597542173,0.6635043253342784,7,0.7161987123987124,2,Permuted
2,21,0.438888888888889,0.4736263736263736,0.5458234182765919,0.5794119788268773,9,0.736995337995338,2,Permuted
3,21,0.5,0.5277472527472528,0.4787268726448641,0.7899228704403776,7,0.6732995837495838,2,Permuted
4,21,0.441666666666667,0.498125,0.41757071400688883,0.5212226238046973,4,0.5754027972027972,2,Permuted
5,21,0.6,0.6098901098901099,0.46444439518469655,0.7676309104015275,6,0.6444298701298702,2.449489742783178,Permuted
1,22,0.515277777777778,0.49962121212121213,0.27152793266170255,0.4711665889582126,2,0.5807725940725941,2,Permuted
2,22,0.369444444444444,0.49886363636363634,0.5776055024146697,0.7669534049363009,6,0.6893777056277056,2.449489742783178,Permuted
3,22,0.536111111111111,0.5003267973856209,0.3790594838944162,0.4959079249667667,3,0.6450991452991452,1.7320508075688772,Permuted
4,22,0.55,0.5003267973856209,0.40388529399165496,0.5213971633732061,2,0.47595454545454546,2,Permuted
5,22,0.388888888888889,0.4737179487179487,0.37829822101480504,0.6490459765155715,4,0.643209213009213,2,Permuted
1,23,0.343055555555556,0.44416666666666665,0.48524917916947097,0.6870613456344198,4,0.62867442002442,2,Permuted
2,23,0.483333333333333,0.5814102564102565,0.5279963259427053,0.8637711778733903,4,0.5811718947718948,2,Permuted
3,23,0.418055555555556,0.444375,0.28624811173591475,0.41593981186134804,1,0.5211668997668998,1,Permuted
4,23,0.425,0.4434065934065934,0.5016774653740959,0.6517024231575124,5,0.650728971028971,2,Permuted
5,23,0.320833333333333,0.4728021978021978,0.47397852203649915,0.7100821266498654,3,0.6376992396492397,1.7320508075688772,Permuted
1,24,0.677777777777778,0.5016666666666667,0.5134002148172832,0.7272800271599619,8,0.7009242424242424,2.8284271247461903,Permuted
2,24,0.563888888888889,0.5269230769230769,0.3631311358087302,0.49309149910296385,2,0.7112148795648796,1.4142135623730951,Permuted
3,24,0.497222222222222,0.5009523809523809,0.5752888395605208,0.7549986533320656,8,0.7425773115773115,2,Permuted
4,24,0.472222222222222,0.5019047619047619,0.4746163674541186,0.6762025053613823,3,0.574813431013431,1.7320508075688772,Permuted
5,24,0.486111111111111,0.44358974358974357,0.5317236962385655,0.7482408627268583,6,0.6801218725718726,2.449489742783178,Permuted
1,25,0.505555555555556,0.5829545454545454,0.5393683857684441,0.7915913425298562,6,0.6629158508158508,2.449489742783178,Permuted
2,25,0.408333333333333,0.4442857142857143,0.5860808104841271,0.6913454535453347,3,0.5750212121212122,1.7320508075688772,Permuted
3,25,0.468055555555556,0.5271978021978022,0.43324561450864735,0.5464007436807042,2,0.6313596015096015,2,Permuted
4,25,0.519444444444444,0.4730952380952381,0.3409177612797866,0.4485171065101387,2,0.5879284770784771,2,Permuted
5,25,0.518055555555556,0.528860294117647,0.4867992686347428,0.7079743744790508,6,0.7287239316239317,2.449489742783178,Permuted
1,26,0.461111111111111,0.4737179487179487,0.5897218106494714,0.6516178247277106,4,0.6479399378399379,2,Permuted
2,26,0.366666666666667,0.4445054945054945,0.463124122372463,0.7346146653568102,6,0.6864266511266511,2.449489742783178,Permuted
3,26,0.498611111111111,0.528125,0.1794614297760778,0.4000428902836856,1,0.5681759684759685,1,Permuted
4,26,0.479166666666667,0.5025641025641026,0.3085808690352362,0.4376920650452096,1,0.5107073426573426,1,Permuted
5,26,0.569444444444444,0.6075,0.5914011225308606,0.7835394592352717,4,0.6109943833943834,2,Permuted
1,27,0.5125,0.44395833333333334,0.32848727920125514,0.6431834136203375,3,0.6601686868686869,1.7320508075688772,Permuted
2,27,0.370833333333333,0.44452380952380954,0.6002960512416075,0.6354395052221545,4,0.6999991452991453,2,Permuted
3,27,0.391666666666667,0.44423076923076926,0.4495144929025941,0.4861970896302461,1,0.6172745088245088,1,Permuted
4,27,0.633333333333333,0.5005494505494505,0.2508192617457156,0.31294396630544796,1,0.5775228105228105,1,Permuted
5,27,0.541666666666667,0.6083333333333334,0.5563084786554184,0.6814700611228052,6,0.6903157731157731,2,Permuted
1,28,0.480555555555556,0.4735714285714286,0.5038553570239261,0.6662724951999743,7,0.6718565101565102,2,Permuted
2,28,0.616666666666667,0.5820512820512821,0.5444074416909805,0.7012980445734127,6,0.6648527583527584,2,Permuted
3,28,0.466666666666667,0.4730952380952381,0.38221898151712036,0.5660173041959085,2,0.6508834110334111,1.4142135623730951,Permuted
4,28,0.575,0.5814338235294118,0.5844088752890505,0.7291616967674897,9,0.6818183261183262,2,Permuted
5,28,0.602777777777778,0.5814102564102565,0.48416828922586813,0.7484296912259,6,0.6956139194139194,2.449489742783178,Permuted
1,29,0.475,0.5282051282051282,0.42660599271951716,0.5792974922056106,6,0.6426869685869686,2,Permuted
2,29,0.558333333333333,0.49833333333333335,0.47320361930265403,0.6034038347700857,5,0.6581671717171718,2.23606797749979,Permuted
3,29,0.552777777777778,0.4727941176470588,0.4865551569764575,0.748091482865877,5,0.6664474747474748,2.23606797749979,Permuted
4,29,0.480555555555556,0.5564102564102564,0.45950408856091746,0.6788164755646873,6,0.6665340992340992,2,Permuted
5,29,0.613888888888889,0.49738095238095237,0.4953425235591903,0.7328119442031774,7,0.7502516705516705,2.6457513110645907,Permuted
1,30,0.333333333333333,0.5009523809523809,0.4566898795667277,0.5870746148306051,3,0.5821580031080031,1.7320508075688772,Permuted
2,30,0.5,0.529375,0.39255081219278654,0.5283037639000179,3,0.6354708291708292,2,Permuted
3,30,0.486111111111111,0.501875,0.33623131766417924,0.5283059259930486,2,0.5336987956487956,1.4142135623730951,Permuted
4,30,0.395833333333333,0.49886363636363634,0.9475160937057396,0.9858378440022654,229,0.4482502886002886,2,Permuted
5,30,0.504166666666667,0.47307692307692306,0.3856096100324278,0.6505218591015702,3,0.6177698634698635,1.7320508075688772,Permuted
1,31,0.473611111111111,0.44416666666666665,0.48522842452323434,0.541560173158215,2,0.6129497058497059,2,Permuted
2,31,0.409722222222222,0.4722426470588235,0.4534553935310943,0.6904842210634652,5,0.7188626262626262,2.23606797749979,Permuted
3,31,0.447222222222222,0.4978021978021978,0.36310301867881134,0.4978370989910286,3,0.6327464313464314,2,Permuted
4,31,0.708333333333333,0.6081818181818182,0.4500805743985957,0.68283138479961,5,0.6579590909090909,2,Permuted
5,31,0.444444444444444,0.4980952380952381,0.41184188657948057,0.579833853873187,5,0.74821448551448555,2.23606797749979,Permuted
1,32,0.472222222222222,0.5019047619047619,0.5879080863636363,0.7679587237291151,7,0.6693749028749029,2,Permuted
2,32,0.533333333333333,0.528021978021978,0.3958668646264728,0.7144170294850681,5,0.6214853590853591,2.23606797749979,Permuted
3,32,0.536111111111111,0.5266025641025641,0.4299561013135772,0.6495110447233879,4,0.6612025807525808,2,Permuted
4,32,0.461111111111111,0.5264285714285715,0.4221056364601022,0.5451024638591436,4,0.7159152736152736,2,Permuted
5,32,0.458333333333333,0.5010416666666667,0.5334725357754542,0.7561223181250738,6,0.6493414141414141,2.449489742783178,Permuted
1,33,0.65,0.6387362637362637,0.38560268273886206,0.6235659486589307,3,0.591648729048729,1.7320508075688772,Permuted
2,33,0.401388888888889,0.4988095238095238,0.2333416698028549,0.3288769816243202,1,0.5611941891441892,1,Permuted
3,33,0.504166666666667,0.44505494505494503,0.9377220455977806,0.9970944180015588,229,0.381264319014319,2,Permuted
4,33,0.522222222222222,0.525,0.3400291388038198,0.5225151542054278,1,0.5754847319347319,1,Permuted
5,33,0.429166666666667,0.4442307692307692,0.9712609947286456,0.930737363661105,229,0.44569923964923963,2,Permuted
1,34,0.576388888888889,0.5846153846153846,0.42490409016155134,0.6263084963917918,4,0.6121873959373959,2,Permuted
2,34,0.533333333333333,0.5291666666666667,0.3411260097744621,0.6517021423700273,4,0.5394076146076147,2,Permuted
3,34,0.5125,0.4735714285714286,0.384367197957555,0.6430878743918698,3,0.5799028360528361,2,Permuted
4,34,0.433333333333333,0.5545238095238095,0.5430022082181822,0.7304644662857742,9,0.6993555666555666,3,Permuted
5,34,0.455555555555556,0.47307692307692306,0.4388676021935548,0.7548313580648374,5,0.7185252358752359,2.23606797749979,Permuted
1,35,0.544444444444445,0.5263736263736264,0.9417186659211275,0.9905970313640218,229,0.5212402375402375,15.132745950421556,Permuted
2,35,0.352777777777778,0.5019230769230769,0.4597410480155622,0.6627931190935922,4,0.5681415195915196,2,Permuted
3,35,0.479166666666667,0.471875,0.6883525832655022,0.7556173525207259,8,0.6661237373737373,2,Permuted
4,35,0.45,0.47307692307692306,0.5369140556309017,0.7772843238585173,6,0.5943455710955711,2.449489742783178,Permuted
5,35,0.591666666666667,0.5543750000000001,0.35100215569434784,0.46972759964249605,3,0.611473926073926,2,Permuted
1,36,0.613888888888889,0.47307692307692306,0.5300401228861115,0.6837017700810417,5,0.6650321123321123,2,Permuted
2,36,0.591666666666667,0.4980769230769231,0.5410664437871844,0.7333962740178808,9,0.7478371073371073,2,Permuted
3,36,0.630555555555556,0.525625,0.504017835519822,0.6616977553701044,3,0.68092109002109,2,Permuted
4,36,0.508333333333333,0.47335164835164834,0.3995027884390843,0.5137873152604105,5,0.721674691974692,2.23606797749979,Permuted
5,36,0.518055555555556,0.6080952380952381,0.4224968168012502,0.8004425673710801,4,0.69754898989899,2,Permuted
1,37,0.530555555555556,0.5009523809523809,0.6150792819545526,0.7857386267889972,12,0.8079151626151626,2,Permuted
2,37,0.522222222222222,0.4726190476190476,0.6070534052874352,0.7703603116371005,12,0.7656664335664336,3.4641016151377544,Permuted
3,37,0.501388888888889,0.5314102564102564,0.5973684386129932,0.7282503320473119,8,0.7626517038517039,2.8284271247461903,Permuted
4,37,0.672222222222222,0.6105769230769231,0.5387963902399017,0.794299529483138,7,0.7351831834831835,2,Permuted
5,37,0.644444444444444,0.6126838235294118,0.5328629588005106,0.6248963488888363,5,0.7231449106449106,2,Permuted
1,38,0.447222222222222,0.5579545454545455,0.4485971572982987,0.8230603690831171,7,0.6788959318459319,2,Permuted
2,38,0.588888888888889,0.4742857142857143,0.6487558727267294,0.7330638147799368,6,0.6864531246531247,2,Permuted
3,38,0.498611111111111,0.4723809523809524,0.3253681473875149,0.4393599924046325,2,0.5857895548895549,2,Permuted
4,38,0.569444444444444,0.5516666666666666,0.5273769742830575,0.6661508341971133,5,0.6666675102675103,2,Permuted
5,38,0.472222222222222,0.4447916666666667,0.4952788178203138,0.6897430245583765,4,0.7266962814962815,2,Permuted
1,39,0.504166666666667,0.5273809523809524,0.40894412409008507,0.6276548881030749,3,0.6155564602064602,1.7320508075688772,Permuted
2,39,0.5375,0.44545454545454544,0.3401768941835226,0.6341096582849759,2,0.5794989010989011,2,Permuted
3,39,0.425,0.4735416666666667,0.45721497756478197,0.6342430885963942,5,0.628412432012432,2,Permuted
