fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
1,4,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.950466214248749,0.9706510560374846,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07486750188686586,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
2,4,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9537327420596647,0.985967715547162,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.0774085634130125,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
3,4,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9547968284547458,0.950596995414563,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07801514114661776,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
4,4,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9461447617525088,0.985295515962204,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07582382869414296,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
5,4,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9569526193701156,0.983379117827186,1,1,1,1,1,1,1,0.375,0.375,0.375,1,46,0.07492252303585088,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.4713260073260073,1,rf,2,C3H,True
6,4,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9509805118863428,0.9784587900324415,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,43,0.07487846644836715,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646886446886447,1,rf,2,C3H,True
7,4,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949970789904566,0.9695747725127176,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07746916150165829,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
8,4,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9489971503638674,0.9753048529312663,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07654558198348678,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
9,4,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9529921838448926,0.962656301653964,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,46,0.07679589928159081,1,0.8502380952380953,1,1,1,1,1,1,1,1,1,0.46364835164835166,1,rf,2,C3H,True
10,4,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.952493630010157,0.9680686372819123,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07711138227786933,1,0.852857142857143,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
