fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass
1,86,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.3924482309266257,0.788425353452222,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,3,0.6343545870023028,0.751921768707483,0.6297127265921909,0.6935091575091575,0.38157731958515867,0.6477106227106227,0.6285714285714286,0.7514285714285714,0.7181269841269842,0.7128614718614719,0.7181269841269842,0.6285714285714286,0.28613919413919414,0.6900000000000001,rf,2,C3H
2,86,0.416666666666667,0.5714285714285714,0.16000000000000003,0.18405156764008304,0.9010117215574921,0.5714285714285714,0.653100080991521,1,0.819704763848122,0.8638644428884695,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5833333333333333,7,0.6419821438732489,0.6945578231292517,0.5885630031344317,0.6523076923076923,0.2953630047813123,0.6037711438887909,0.6,0.6935714285714285,0.6381976911976912,0.6767128427128427,0.6381976911976912,0.6,0.27997069597069596,0.6467857142857143,rf,2,C3H
3,86,0.45,0.6666666666666666,0.3414634146341463,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,1,0.6217635786083483,0.6910134801031109,0.75,0.6,0.6,0.75,0.6,0.75,0.6666666666666665,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.675,3,0.6509002976871303,0.7387074829931973,0.6289560503980147,0.7105201465201465,0.4119221503254938,0.6672709512709513,0.6504761904761904,0.76,0.709,0.7299321789321789,0.709,0.6504761904761904,0.30228571428571427,0.7052380952380952,rf,2,C3H
4,86,0.666666666666667,0.8571428571428571,0.6956521739130433,0.42127680295680486,0.9963897031380994,0.5714285714285714,0.124340805519566,1,0.8317018999609397,0.877547598586131,0.6666666666666666,1,1,0.7999999999999999,1,0.6666666666666666,0.8,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.8333333333333333,5,0.6770920325276489,0.6677465986394557,0.5723669605857106,0.625978021978022,0.2508104437923425,0.5851418581418582,0.5866666666666667,0.6642857142857143,0.6101356421356421,0.6575584415584416,0.6101356421356421,0.5866666666666667,0.27188278388278386,0.6254761904761905,rf,2,C3H
5,86,0.666666666666667,0.7142857142857143,0.4615384615384616,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,0.4795001221869535,0.8231754487892057,0.8889935903608714,1,0.5,0.6000000000000001,1,0.6,1,0.7499999999999999,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.75,8,0.5730528432162469,0.7706462585034013,0.6538219023040451,0.65796336996337,0.31651376629928896,0.6418675768675769,0.6657142857142857,0.6535714285714286,0.6378167388167388,0.6942539682539682,0.6378167388167388,0.6657142857142857,0.30843956043956045,0.6596428571428571,rf,2,C3H
6,86,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.842445884712794,0.9244998220363547,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,8,0.603354334255641,0.7458843537414966,0.6367417034024176,0.6472527472527473,0.2870509373300543,0.6037341286164816,0.5885714285714285,0.6957142857142857,0.6446031746031746,0.6673852813852813,0.6446031746031746,0.5885714285714285,0.26892307692307693,0.6421428571428571,rf,2,C3H
7,86,0.5625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,1,0.815800995617334,0.6888843029712012,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,3,0.7159650836617207,0.6599489795918367,0.5662852047093119,0.6270036630036631,0.24619921392300165,0.5629470268293797,0.5847619047619047,0.6642857142857143,0.5868424908424908,0.6801041181041181,0.5868424908424908,0.5847619047619047,0.2665201465201465,0.6245238095238095,rf,2,C3H
8,86,0.583333333333333,0.7142857142857143,0.4166666666666668,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,1,0.8171677569969481,0.7915721718520721,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.7083333333333333,3,0.7087057463638006,0.6748129251700681,0.5682746063460349,0.6049523809523809,0.20478607069900484,0.5572710035062975,0.5580952380952381,0.6464285714285715,0.5850793650793651,0.629978354978355,0.5850793650793651,0.5580952380952381,0.2588131868131868,0.6022619047619048,rf,2,C3H
9,86,0.55,0.6666666666666666,0.3720930232558139,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,0.24821307898992362,0.8396133376154226,0.9344339872670602,1,0.4,0.5714285714285715,1,0.5714285714285714,1,0.7272727272727273,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7,7,0.5836733474695746,0.7670238095238096,0.6428455930643431,0.6742271062271062,0.34595062575914565,0.6198467088467088,0.6095238095238095,0.7357142857142857,0.6893809523809524,0.6944384319384319,0.6893809523809524,0.6095238095238095,0.2824761904761905,0.6726190476190477,rf,2,C3H
10,86,0.625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,1,0.8309207466150823,0.8801088592606722,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.375,0.5,0.75,5,0.5986555158307183,0.7472363945578231,0.6261438553179625,0.6653479853479853,0.32641090478823137,0.6332311283487754,0.6419047619047619,0.6849999999999999,0.6417777777777778,0.6989206349206349,0.6417777777777778,0.6419047619047619,0.2928937728937729,0.6634523809523809,rf,2,C3H
